geoid,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B19013_001E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E
370479308003,895,532,363,0,0,0,0,0,0,0,55938,451,0,0,30,93,45,68,126,45,35,9
370479308002,986,879,107,0,0,0,0,0,0,0,78542,533,0,0,37,59,163,145,76,10,8,35
371459203001,1361,465,822,0,0,0,74,0,0,0,52928,633,0,0,12,32,14,71,141,191,38,134
370879202005,1032,920,0,0,0,0,112,0,0,0,39439,439,0,0,0,20,16,0,40,114,37,212
370879210003,1612,1476,114,0,0,0,0,22,0,22,57969,700,0,0,0,68,87,105,79,121,105,135
370879210002,677,658,6,0,0,0,0,13,0,13,46316,332,0,0,0,0,19,16,93,130,47,27
371759603005,603,571,28,4,0,0,0,0,0,0,-666666666,350,0,0,75,0,11,99,17,63,35,50
371759602002,1444,1157,264,13,3,0,3,4,2,2,68250,988,0,0,377,147,96,80,131,12,109,36
371759602001,811,779,10,22,0,0,0,0,0,0,33835,485,22,15,107,16,15,75,62,91,72,10
371759606003,1143,1019,0,0,19,0,105,0,0,0,40450,1178,0,6,270,349,338,59,94,22,18,22
371759606001,661,635,0,26,0,0,0,0,0,0,56250,999,25,13,211,181,248,156,119,39,7,0
370099707002,2012,1877,0,0,0,0,60,75,75,0,49705,1500,64,0,571,109,114,115,296,52,70,109
370099707001,959,959,0,0,0,0,0,0,0,0,39114,1029,18,83,279,295,86,109,93,38,13,15
370099707004,335,310,8,0,17,0,0,0,0,0,-666666666,364,0,0,65,41,0,62,127,14,0,55
371619609001,1478,1201,94,0,36,0,0,147,0,147,44946,625,0,0,0,0,244,89,104,34,68,86
371619609004,1338,1211,0,0,79,0,0,48,0,48,34375,684,0,0,32,58,65,248,155,66,13,47
371619609003,1650,1371,160,0,39,0,23,57,0,57,36391,570,11,0,36,117,22,23,174,36,110,41
371619608004,1337,840,497,0,0,0,0,0,0,0,16071,690,0,0,51,66,48,151,122,205,34,13
371619608005,954,780,83,0,0,0,0,91,0,91,53409,429,0,0,0,28,39,89,83,68,63,59
371619608002,854,234,609,0,0,0,11,0,0,0,23889,472,0,0,0,16,14,83,82,209,68,0
370850710022,1199,869,202,0,0,0,128,0,0,0,54063,390,31,34,100,83,40,24,8,33,0,37
370850711011,3677,2763,427,0,9,0,438,40,0,40,46118,1440,18,94,413,461,203,97,49,42,30,33
370850711021,2367,1534,707,0,0,0,126,0,0,0,64500,736,68,8,191,208,109,13,20,85,15,19
370850711022,1284,949,174,0,0,0,161,0,0,0,50817,642,15,25,132,162,60,9,116,0,10,113
370850711023,1577,889,608,80,0,0,0,0,0,0,50675,672,22,0,50,277,139,24,49,49,0,62
370850713013,911,529,292,0,0,0,17,73,0,73,68864,340,19,20,106,104,52,24,0,0,9,6
370850713012,1788,1234,222,150,0,0,74,108,0,108,71094,645,162,18,82,148,96,61,41,18,2,17
371470003012,1809,1632,146,0,0,0,31,0,0,0,90446,886,10,6,107,329,192,204,33,0,0,5
371470003011,1131,688,346,0,74,0,0,23,0,23,61500,455,0,0,0,0,0,104,300,41,0,10
371470006033,1860,1296,381,0,0,0,0,183,0,183,36176,729,10,54,87,148,229,128,73,0,0,0
371470006034,1395,433,857,0,35,0,0,70,0,70,41710,748,41,40,0,239,373,55,0,0,0,0
371470006031,4388,2562,1644,0,89,0,2,91,0,91,51202,1935,121,131,815,525,219,109,0,0,15,0
371470006032,3004,1113,1657,0,82,0,0,152,0,152,70828,1163,0,20,653,438,22,30,0,0,0,0
371470013012,836,229,569,0,0,0,30,8,0,8,32056,430,0,0,137,98,30,36,32,57,40,0
371470013011,3253,2013,1010,0,128,0,11,91,0,91,73944,1316,59,88,716,187,111,120,8,0,0,27
371470014022,1130,563,394,0,87,0,31,55,0,55,45592,537,15,0,152,9,73,207,0,46,0,35
371470014012,1236,995,60,13,0,0,168,0,0,0,75078,463,15,9,0,28,0,79,210,94,0,28
371470014011,1428,1065,346,17,0,0,0,0,0,0,30986,768,0,0,69,88,108,192,65,93,37,116
